slug,category,menu_name,description,price,image
189599,Popular Items,Chick-n-Minis®,"Bite-sized Chick-fil-A® Nuggets nestled in warm, mini yeast rolls that are lightly brushed with a honey butter spread.",4.85,tucson/images/189599/Chick-n-Minis®_main.jpg
189599,Popular Items,Hash Brown Scramble Burrito,"A hearty morning meal of sliced Chick-fil-A Nuggets, crispy Hash Browns, scrambled eggs and a blend of Monterey Jack and Cheddar cheeses. Made fresh each morning. Rolled in a warm flour tortilla. Served with Jalapeño Salsa.",5.2,tucson/images/189599/HashBrownScrambleBurrito_main.jpg
189599,Popular Items,Chick-fil-A® Nuggets,"Bite-sized pieces of boneless chicken breast, seasoned to perfection, freshly breaded and pressure cooked in 100% refined peanut oil. Available with choice of dipping sauce.",5.4,tucson/images/189599/Chick-fil-A®Nuggets_main.jpg
189599,Popular Items,Hash Brown Scramble Bowl,"A hearty morning meal of sliced Chick-fil-A Nuggets, crispy Hash Browns, scrambled eggs and a blend of Monterey
Jack and Cheddar cheeses. Made fresh each morning. Served in a convenient bowl. Served with Jalapeño Salsa.",5.2,tucson/images/189599/HashBrownScrambleBowl_main.jpg
189599,Popular Items,Iced Coffee,"Handcrafted daily, made with a custom blend of cold-brewed coffee and 2% milk, sweetened with pure cane sugar and served over ice. Our coffee beans are sourced by THRIVE Farmers, a farmer-direct coffee company that enriches the lives and communities of those who grow it. Available all day in Original or Vanilla.",3.7,tucson/images/189599/IcedCoffee_main.jpg
189599,Popular Items,Simply Orange®,"100% pure-squeezed, pasteurized Orange Juice. ",3.35,tucson/images/189599/SimplyOrange®_main.jpg
189599,Popular Items,Greek Yogurt Parfait,"Creamy, organic vanilla bean Greek yogurt with fresh berries and your choice of toppings.",5.2,tucson/images/189599/GreekYogurtParfait_main.jpg
189599,Popular Items,Fruit Cup,"A nutritious fruit mix made with chopped pieces of red and green apples, mandarin orange segments, fresh strawberry slices, and blueberries, served chilled. Prepared fresh daily.",4.5,tucson/images/189599/FruitCup_main.jpg
189599,Breakfast,Chick-fil-A® Chicken Biscuit,"A breakfast portion of our famous boneless breast of chicken, seasoned to perfection, hand-breaded, pressure cooked in 100% refined peanut oil and served on a buttermilk biscuit baked fresh at each Restaurant.",2.15,
189599,Breakfast,Spicy Chick-n-Strips® Biscuit,"two Spicy Chick-n-Strips®, seasoned with a spicy blend of peppers, freshly-breaded and cooked in 100% refined peanut oil and served on a buttermilk biscuit baked fresh at each Restaurant.",3.05,
189599,Breakfast,Chick-n-Minis®,"Bite-sized Chick-fil-A® Nuggets nestled in warm, mini yeast rolls that are lightly brushed with a honey butter spread.",4.85,tucson/images/189599/Chick-n-Minis®_main.jpg
189599,Breakfast,Egg White Grill,"A breakfast portion of grilled chicken with a hint of citrus, served on a toasted multigrain English muffin with egg whites and American cheese.",3.55,
189599,Breakfast,Hash Brown Scramble Burrito,"A hearty morning meal of sliced Chick-fil-A Nuggets, crispy Hash Browns, scrambled eggs and a blend of Monterey Jack and Cheddar cheeses. Made fresh each morning. Rolled in a warm flour tortilla. Served with Jalapeño Salsa.",5.2,tucson/images/189599/HashBrownScrambleBurrito_main.jpg
189599,Breakfast,Hash Brown Scramble Bowl,"A hearty morning meal of sliced Chick-fil-A Nuggets, crispy Hash Browns, scrambled eggs and a blend of Monterey
Jack and Cheddar cheeses. Made fresh each morning. Served in a convenient bowl. Served with Jalapeño Salsa.",5.2,tucson/images/189599/HashBrownScrambleBowl_main.jpg
189599,Breakfast,"Bacon, Egg & Cheese Biscuit",Delicious strips of smoked applewood bacon along with folded egg and cheese served on a freshly baked buttermilk biscuit.,2.6,
189599,Breakfast,"Sausage, Egg & Cheese Biscuit",A tasty pork sausage patty along with a folded egg and cheese served on a freshly baked buttermilk biscuit.,2.6,
189599,Breakfast,"Bacon, Egg & Cheese Muffin","Delicious strips of smoked applewood bacon, folded egg and American cheese served on a toasted multigrain English muffin.",2.6,
189599,Breakfast,"Sausage, Egg & Cheese Muffin","Savory pork sausage, freshly prepared eggs and American cheese served on a toasted multigrain English muffin.",2.6,
189599,Breakfast,Buttered Biscuit,A delicious buttermilk biscuit baked fresh at each Restaurant. Served lightly buttered or plain.,1.6,tucson/images/189599/ButteredBiscuit_main.jpg
189599,Breakfast,English Muffin,Toasted multigrain English muffin.,1.75,
189599,Breakfast,Hash Browns,Crispy potato medallions cooked in canola oil.,1.6,tucson/images/189599/HashBrowns_main.jpg
